Time,Source,Target,Amount,Location,Type,Labels
0,S10000,T1000,13.74,L100,TP100,2
1,S10001,T1001,73.17,L101,TP101,2
2,S10002,T1000,68.59,L100,TP100,2
3,S10003,T1002,57,L100,TP102,2
4,S10004,T1000,11.55,L100,TP100,2
5,S10005,T1000,245.4,L100,TP100,2
6,S10006,T1000,134.85,L100,TP100,2
7,S10007,T1000,59.92,L100,TP100,0
8,S10008,T1003,805.97,L100,TP100,2
9,S10009,T1000,44.13,L100,TP100,2
10,S10010,T1000,38.71,L100,TP100,2
11,S10011,T1002,52,L100,TP102,2
12,S10012,T1002,55,L100,TP102,2
13,S10013,T1003,17.11,L100,TP100,2
14,S10014,T1003,18.88,L100,TP100,0
15,S10015,T1003,24.82,L100,TP100,2
16,S10016,T1004,49,L102,TP102,2
17,S10017,T1002,51,L100,TP102,2
18,S10018,T1003,10.74,L100,TP100,2
19,S10019,T1000,21.96,L100,TP100,2
20,S10020,T1005,112.61,L100,TP103,0
21,S10021,T1003,35,L100,TP100,0
22,S10022,T1006,2000,L103,TP104,0
23,S10023,T1000,21.69,L100,TP100,2
24,S10024,T1000,39.58,L100,TP100,2
25,S10025,T1007,360,L100,TP102,0
26,S10026,T1008,11.97,L100,TP105,2
27,S10027,T1002,54,L100,TP102,2
28,S10028,T1002,59,L100,TP102,2
29,S10029,T1000,134.42,L100,TP100,0
30,S10030,T1002,52,L100,TP102,2
31,S10031,T1009,73.78,L104,TP106,2
32,S10031,T1009,25.94,L104,TP106,2
33,S10032,T1003,50,L100,TP100,2
34,S10033,T1000,231.09,L100,TP100,0
35,S10034,T1000,111.09,L100,TP100,2
36,S10035,T1009,65.38,L104,TP106,2
37,S10036,T1000,25.91,L100,TP100,0
38,S10037,T1000,39.94,L100,TP100,2
39,S10038,T1010,4,L102,TP107,2
40,S10039,T1008,29.92,L100,TP105,2
41,S10040,T1000,0.39,L100,TP100,2
42,S10041,T1002,53,L100,TP102,2
43,S10042,T1002,59,L100,TP102,2
44,S10043,T1011,900,L102,TP108,0
45,S10044,T1000,27.23,L100,TP100,2
46,S10043,T1011,900,L102,TP108,0
47,S10045,T1002,57,L100,TP102,2
48,S10046,T1009,33.47,L104,TP106,2
49,S10047,T1012,28,L105,TP106,2
50,S10048,T1013,39.14,L102,TP108,2
51,S10049,T1000,66.74,L100,TP100,2
52,S10050,T1000,29.94,L100,TP100,2
53,S10051,T1000,22.23,L100,TP100,2
54,S10052,T1014,8.93,L100,TP109,2
55,S10053,T1015,74.59,L100,TP110,2
56,S10054,T1009,94,L104,TP106,2
57,S10055,T1003,120.82,L100,TP100,2
58,S10056,T1000,22.06,L100,TP100,2
59,S10057,T1016,2.92,L106,TP111,2
60,S10058,T1000,57.9,L100,TP100,2
61,S10059,T1012,31.68,L105,TP106,2
62,S10060,T1000,70.79,L100,TP100,2
63,S10061,T1017,19.93,L100,TP112,2
64,S10062,T1013,35.13,L102,TP108,2
65,S10063,T1018,19.48,L102,TP113,0
66,S10043,T1019,9,L107,TP108,0
67,S10043,T1019,6,L107,TP108,0
68,S10064,T1013,20.07,L102,TP108,0
69,S10065,T1000,10.82,L100,TP100,2
70,S10066,T1000,15.17,L100,TP100,2
71,S10067,T1019,8.09,L107,TP108,2
72,S10068,T1003,31.13,L100,TP100,2
73,S10069,T1000,49.67,L100,TP100,2
74,S10070,T1003,14.23,L100,TP100,0
75,S10071,T1004,575.3,L102,TP114,0
76,S10072,T1000,38.08,L100,TP100,2
77,S10029,T1000,63.6,L100,TP100,0
78,S10073,T1020,24.94,L108,TP115,0
79,S10074,T1004,39.97,L102,TP116,2
80,S10075,T1019,7.71,L107,TP108,2
